dia,conteo_conejos,conteo_ratones,conteo_ardillas,conteo_total,muertes_por_predacion,muertes_por_enfermedad,nuevos_infectados,recuperaciones,reproducciones,depredadores_enfermos,depredadores_vivos
1,17,20,13,50,0,0,1,0,0,0,1
2,17,20,13,50,0,0,0,1,0,0,1
3,17,20,13,50,0,0,1,0,0,0,1
4,17,20,13,50,0,0,2,0,0,0,1
5,17,19,13,49,0,0,1,1,0,0,1
6,17,19,13,49,0,0,3,0,0,0,1
7,17,30,13,60,0,0,1,2,6,0,1
8,15,31,13,59,0,1,0,0,1,0,1
9,14,38,20,72,0,0,0,1,9,0,1
10,13,40,23,76,0,0,1,2,2,0,1
11,20,40,22,82,0,1,2,0,4,0,1
12,19,40,25,84,0,0,0,0,3,0,1
13,24,40,25,89,0,0,4,1,2,0,1
14,26,40,25,91,0,0,1,0,1,0,1
15,25,40,24,89,0,1,1,2,0,0,1
16,28,40,23,91,0,1,1,1,1,0,1
17,30,40,25,95,0,0,3,1,2,0,1
18,29,39,25,93,0,1,0,1,0,0,1
19,30,40,25,95,0,0,0,1,3,0,1
20,29,40,25,94,0,0,3,0,0,0,1
21,29,40,25,94,0,0,3,3,1,0,1
22,30,39,23,92,0,2,1,1,1,0,1
23,29,40,25,94,0,0,2,2,3,0,1
24,29,40,25,94,0,0,1,0,1,0,1
25,29,40,25,94,0,0,1,1,1,0,1
26,30,39,25,94,0,1,4,3,1,0,1
27,30,40,25,95,0,0,1,2,1,0,1
28,30,40,25,95,0,0,2,1,1,0,1
29,30,40,25,95,0,0,0,1,0,0,1
30,30,40,25,95,0,0,2,3,1,0,1
31,30,40,25,95,0,0,1,0,0,0,1
32,30,40,25,95,0,0,1,2,1,0,1
33,30,40,25,95,0,0,2,1,0,0,1
34,30,40,25,95,0,0,0,0,1,0,1
35,30,40,25,95,0,0,1,0,1,0,1
36,29,40,25,94,0,1,3,1,1,0,1
37,30,40,25,95,0,0,1,1,2,0,1
38,30,40,25,95,0,0,1,2,1,0,1
39,30,40,25,95,0,0,1,2,1,0,1
40,30,40,25,95,0,0,1,1,1,0,1
41,30,40,25,95,0,0,1,0,1,0,1
42,29,40,25,94,0,0,1,0,0,0,1
43,30,40,25,95,0,0,1,1,2,0,1
44,30,39,25,94,0,1,0,2,1,0,1
45,30,40,25,95,0,0,1,0,2,0,1
46,30,40,25,95,0,0,3,0,1,0,1
47,29,40,25,94,0,0,2,2,0,0,1
48,30,40,25,95,0,0,1,3,2,0,1
49,30,40,25,95,0,0,4,1,1,0,1
50,30,40,25,95,0,0,1,3,1,0,1
51,30,40,25,95,0,0,2,1,0,0,1
52,29,40,25,94,0,0,1,0,0,0,1
53,30,40,25,95,0,0,5,2,2,0,1
54,30,40,25,95,0,0,2,1,1,0,1
55,30,40,25,95,0,0,1,1,1,0,1
