dia,conteo_conejos,conteo_ratones,conteo_ardillas,conteo_total,muertes_por_predacion,muertes_por_enfermedad,nuevos_infectados,recuperaciones,reproducciones,depredadores_enfermos,depredadores_vivos
1,19,20,11,50,0,0,2,0,0,0,1
2,19,20,11,50,0,0,1,0,0,0,1
3,19,20,11,50,0,0,0,1,0,0,1
4,19,19,11,49,0,0,0,1,0,0,1
5,19,18,11,48,0,0,0,0,0,0,1
6,19,18,10,47,0,0,1,1,0,0,1
7,18,29,10,57,0,0,3,0,4,0,1
8,17,36,10,63,0,0,0,0,3,0,1
9,16,41,14,71,0,0,2,3,5,0,1
10,16,43,15,74,0,0,2,0,2,0,1
11,30,49,15,94,0,0,0,0,8,0,1
12,30,49,16,95,0,1,3,1,3,0,1
13,33,62,17,112,0,0,2,2,8,0,1
14,34,72,19,125,0,1,1,0,8,0,1
15,34,81,20,135,0,2,0,2,8,0,1
16,38,96,24,158,0,0,4,0,10,0,1
17,45,100,25,170,0,0,4,1,7,0,1
18,49,100,25,174,0,1,6,1,3,0,1
19,50,100,25,175,0,1,3,4,2,0,1
20,51,100,29,180,0,0,3,4,5,0,1
21,61,99,32,192,0,2,5,3,6,0,1
22,64,100,35,199,0,0,7,3,4,0,1
23,76,100,41,217,0,0,5,6,9,0,1
24,75,100,45,220,0,0,5,3,3,0,1
25,87,100,49,236,0,0,4,5,8,0,1
26,88,100,50,238,0,1,2,3,3,0,1
27,98,99,54,251,0,1,4,3,6,0,1
28,102,100,64,266,0,2,2,2,10,0,1
29,101,100,71,272,0,0,2,4,4,0,1
30,101,100,82,283,0,0,6,3,6,0,1
31,100,100,87,287,0,0,6,6,3,0,1
32,100,100,96,296,0,0,7,3,6,0,1
33,100,100,100,300,0,0,5,7,4,0,1
34,101,100,100,301,0,0,5,1,2,0,1
35,100,100,100,300,0,0,5,3,0,0,1
36,99,100,100,299,0,1,10,7,1,0,1
37,99,100,100,299,0,1,1,7,2,0,1
38,100,100,100,300,0,0,8,5,2,0,1
39,100,100,100,300,0,0,4,2,1,0,1
40,100,99,100,299,0,1,7,6,1,0,1
41,98,100,100,298,0,2,3,4,2,0,1
42,100,100,100,300,0,0,3,4,2,0,1
43,100,98,100,298,0,2,3,3,1,0,1
44,99,101,100,300,0,1,8,2,4,0,1
45,100,101,100,301,0,0,3,5,2,0,1
46,102,101,100,303,0,0,4,2,3,0,1
47,101,101,100,302,0,0,7,5,0,0,1
48,100,101,100,301,0,0,4,6,0,0,1
49,100,101,99,300,0,1,7,4,1,0,1
50,100,101,99,300,0,1,2,3,2,0,1
51,100,100,100,300,0,0,11,5,1,0,1
52,100,99,100,299,0,1,8,6,1,0,1
